arrival_multiplier,edge_shrinkage,return_median,return_mean,p10,p90,utilization,trades,turnover
0.5,0.5,0.022994245382252667,0.02238313761219529,0.014016197104937893,0.03026119190340678,0.026763252235357228,19.0,0.8330697772848763
0.5,0.55,0.056722240727055485,0.052845489928417734,0.03768480266878954,0.06490477654913573,0.05519977784594018,48.25,1.6915460729255738
0.5,0.6,0.08744237883522682,0.08725823908525071,0.07347288576091497,0.10089628060960557,0.0810428697596505,84.75,2.5804550427991813
0.5,0.65,0.19845731188261626,0.20054272873928736,0.17215707273836608,0.2305967182255455,0.14424451450577666,154.25,4.783131932417468
1.0,0.5,0.0332143391135999,0.029453494761119234,0.021067824783624366,0.03483048925662957,0.041270222547069774,34.0,1.2358908645479678
1.0,0.55,0.07981391828251536,0.08253979609950793,0.07767128809663047,0.08958900635597945,0.09135166071578972,83.75,2.9155482207630756
1.0,0.6,0.20238643707953735,0.19930830702755709,0.17509086104028382,0.22106324897324608,0.15163030261396593,180.75,5.557685919201674
1.0,0.65,0.4144388338257517,0.4142051343107683,0.3742993419518994,0.45392396705765037,0.27582063604459794,315.25,10.014223865304276
2.0,0.5,0.07628550073841298,0.07435866871623731,0.062439859507454294,0.08473601230727977,0.08830981574690994,80.5,2.7571168740004985
2.0,0.55,0.18830101775906122,0.18603769472127796,0.1685417128240622,0.20172301818826713,0.16216810875098758,173.5,5.7069376907554
2.0,0.6,0.38992075356423517,0.40060969108534417,0.37440417559284633,0.4353663565947292,0.3018216367538671,353.75,11.194883938801262
2.0,0.65,0.7588872669328857,0.7679769507340423,0.7496978928334604,0.7935277556755495,0.45629072666137416,624.75,18.490076352181628
4.0,0.5,0.12388713853496629,0.12464895160926172,0.10454413219139562,0.14536322148656416,0.17337100347597226,145.0,5.303009923176874
4.0,0.55,0.3333611934876003,0.3365151722965863,0.3053593270998193,0.370194200540542,0.2995469805339454,328.75,11.097148268448203
4.0,0.6,0.7523459566937853,0.764061851774559,0.7464782081593275,0.7910182114544095,0.49426467652771444,691.5,21.780377501750102
4.0,0.65,1.3522105861856735,1.343186713767292,1.3051108445358774,1.3740434850640013,0.631569302426572,1135.75,32.1180953304006
